IBOV - Carteira do Dia 22/09/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.585.311.860;4,691;17,843;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;7,588;17,843;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.957.807;0,284;17,843;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;798.274.909;1,825;17,843;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,001;17,843;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1.114.412.532;1,052;17,843;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,751;2,421;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,670;2,421;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;345.269.967;0,254;2,685;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,907;2,685;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.168.230.366;1,524;2,685;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;425.161.586;0,132;0,799;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,667;0,799;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,923;1,519;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;807.896.814;0,596;1,519;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,032;1,032;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.437.415.777;0,916;10,237;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,746;10,237;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,330;10,237;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,407;10,237;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;270.230.714;0,507;10,237;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;290.435.910;0,705;10,237;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.578.931.315;0,923;10,237;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,540;10,237;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,787;10,237;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,376;10,237;
Quantidade Teórica Total;;;;97.691.599.206;100,000;100,000
Redutor;;;;17.493.401,93378834
